timestamp,team1,team1_shape,team1_player1_name,team1_player2_name,team1_player3_name,team1_player4_name,team1_player5_name,team1_player6_name,team1_player7_name,team1_player8_name,team1_player9_name,team1_player10_name,team1_player11_name,team2,team2_shape,team2_player1_name,team2_player2_name,team2_player3_name,team2_player4_name,team2_player5_name,team2_player6_name,team2_player7_name,team2_player8_name,team2_player9_name,team2_player10_name,team2_player11_name,result,score
"10:30 PM CT,January 9, 2021",S04,4-4-2_L,Ralf Fährmann,Bastian Oczipka,Benjamin Stambouli,Ozan Kabak,Sebastian Rudy,Amine Harit,Nabil Bentaleb,Suat Serdar,Rabbi Matondo,Gonçalo Paciência,Mark Uth,TSG,3-4-1-2_R,Oliver Baumann,Ermin Bicakcic,Kevin Vogt,Kasim Nuhu,Pavel Kaderábek,Diadie Samassekou,Dennis Geiger,Kevin Akpoguma,Andrej Kramaric,Munas Dabbur,Christoph Baumgartner,1,4-0
"1:30 AM CT,January 10, 2021",RBL,3-4-2-1_L,Péter Gulácsi,Marcel Halstenberg,Dayot Upamecano,Lukas Klostermann,Angeliño,Kevin Kampl,Tyler Adams,Amadou Haidara,Emil Forsberg,Dani Olmo,Yussuf Poulsen,DOR,3-4-1-2_R,Roman Bürki,Manuel Akanji,Mats Hummels,Emre Can,Thorgan Hazard,Jude Bellingham,Axel Witsel,Thomas Meunier,Giovanni Reyna,Jadon Sancho,Erling Haaland,-1,1-3
"10:30 PM CT,January 10, 2021",FCA,4-2-3-1_L,Rafal Gikiewicz,Iago,Felix Uduokhai,Jeffrey Gouweleeuw,Raphael Framberger,Rani Khedira,Carlos Gruezo,Ruben Vargas,Michael Gregoritsch,Daniel Caligiuri,Florian Niederlechner,VFB,3-1-4-2_R,Gregor Kobel,Marc-Oliver Kempf,Marcin Kaminski,Waldemar Anton,Wataru Endo,Silas Katompa Mvumpa,Orel Mangala,Gonzalo Castro,Roberto Massimo,Daniel Didavi,Mateo Klimowicz,-1,1-4
"1:00 AM CT,January 11, 2021",DSC,4-1-4-1_L,Stefan Ortega,Anderson Lucoqui,Mike van der Hoorn,Amos Pieper,Nathan de Medina,Manuel Prietl,Sergio Córdova,Marcel Hartel,Ritsu Doan,Cebio Soukou,Fabian Klos,BSC,4-1-2-1-2_R,Alexander Schwolow,Maximilian Mittelstädt,Jordan Torunarigha,Dedryck Boyata,Peter Pekarik,Niklas Stark,Lucas Tousart,Vladimír Darida,Matheus Cunha,Krzysztof Piatek,Dodi Lukebakio,1,1-0
"3:30 AM CT,January 16, 2021",FCU,4-3-3-d_L,Andreas Luthe,Christopher Lenz,Robin Knoche,Marvin Friedrich,Christopher Trimmel,Grischa Prömel,Robert Andrich,Christian Gentner,Marius Bulter,Marcus Ingvartsen,Sheraldo Becker,B04,4-1-4-1_R,Lukas Hradecky,Daley Sinkgraven,Edmond Tapsoba,Sven Bender,Lars Bender,Charles Aránguiz,Moussa Diaby,Kerem Demirbay,Florian Wirtz,Karim Bellarabi,Lucas Alario,1,1-0
"10:30 PM CT,January 16, 2021",DOR,3-4-1-2_L,Roman Bürki,Manuel Akanji,Mats Hummels,Emre Can,Thorgan Hazard,Jude Bellingham,Axel Witsel,Thomas Meunier,Giovanni Reyna,Jadon Sancho,Erling Haaland,M05,4-2-3-1_R,Robin Zentner,Daniel Brosinski,Moussa Niakhate,Jerry St. Juste,Ridle Baku,Danny Latza,Leandro Barreiro,Karim Onisiwo,Robin Quaison,Jonathan Burkhardt,Jean-Philippe Mateta,0,1-1
"10:30 PM CT,January 16, 2021",KOE,4-2-3-1_L,Timo Horn,Jannes Horn,Rafael Czichos,Sebastiaan Bornauw,Marco Höger,Jonas Hector,Ellyes Skhiri,Jan Thielmann,Ondrej Duda,Elvis Rexhbecaj,Sebastian Andersson,BSC,4-1-2-1-2_R,Alexander Schwolow,Maximilian Mittelstädt,Jordan Torunarigha,Dedryck Boyata,Peter Pekarik,Niklas Stark,Lucas Tousart,Vladimír Darida,Matheus Cunha,Krzysztof Piatek,Dodi Lukebakio,0,0-0
"10:30 PM CT,January 16, 2021",TSG,3-4-1-2_L,Oliver Baumann,Ermin Bicakcic,Kevin Vogt,Kasim Nuhu,Pavel Kaderábek,Diadie Samassekou,Dennis Geiger,Kevin Akpoguma,Andrej Kramaric,Munas Dabbur,Christoph Baumgartner,DSC,4-1-4-1_R,Stefan Ortega,Anderson Lucoqui,Mike van der Hoorn,Amos Pieper,Nathan de Medina,Manuel Prietl,Sergio Córdova,Marcel Hartel,Ritsu Doan,Cebio Soukou,Fabian Klos,0,0-0
"10:30 PM CT,January 16, 2021",WOB,4-3-3-d_L,Koen Casteels,Jérôme Roussillon,John Brooks,Maxence Lacroix,Renato Steffen,Xaver Schlager,Maximilian Arnold,Admir Mehmedi,Joao Victor,Wout Weghorst,Josip Brekalo,RBL,3-4-2-1_R,Péter Gulácsi,Marcel Halstenberg,Dayot Upamecano,Lukas Klostermann,Angeliño,Kevin Kampl,Tyler Adams,Amadou Haidara,Emil Forsberg,Dani Olmo,Yussuf Poulsen,0,2-2
"10:30 PM CT,January 16, 2021",SVW,4-4-2_L,Jirí Pavlenka,Ludwig Augustinsson,Marco Friedl,Niklas Moisander,Theodor Gebre Selassie,Joshua Sargent,Maximilian Eggestein,Davy Klaassen,Tahith Chong,Yuya Osako,Davie Selke,FCA,4-2-3-1_R,Rafal Gikiewicz,Iago,Felix Uduokhai,Jeffrey Gouweleeuw,Raphael Framberger,Rani Khedira,Carlos Gruezo,Ruben Vargas,Michael Gregoritsch,Daniel Caligiuri,Florian Niederlechner,1,2-0
"1:30 AM CT,January 17, 2021",VFB,3-1-4-2_L,Gregor Kobel,Marc-Oliver Kempf,Marcin Kaminski,Waldemar Anton,Wataru Endo,Silas Katompa Mvumpa,Orel Mangala,Gonzalo Castro,Roberto Massimo,Daniel Didavi,Mateo Klimowicz,BMG,3-4-3_R,Yann Sommer,Ramy Bensebaini,Nico Elvedi,Matthias Ginter,Oscar Wendt,Christoph Kramer,Florian Neuhaus,Stefan Lainer,Jonas Hofmann1,Lars Stindl,Hannes Wolf,0,2-2
"10:30 PM CT,January 17, 2021",MUN,4-2-3-1_L,Manuel Neuer,Lucas Hernández,Jérôme Boateng,Niklas Süle,Benjamin Pavard,Joshua Kimmich,Leon Goretzka,Serge Gnabry,Thomas Müller,Leroy Sané,Robert Lewandowski,SCF,4-1-2-1-2_R,Florian Müller,Christian Günter,Dominique Heintz,Philipp Lienhart,Jonathan Schmid,Nicolas Höfler,Vincenzo Grifo,Woo-Yeong Jeong,Roland Sallai,Lucas Höler,Nils Petersen,1,2-1
"1:00 AM CT,January 18, 2021",SGE,3-4-1-2_L,Kevin Trapp,Martin Hinteregger,Makoto Hasebe,David Abraham,Filip Kostic,Sebastian Rode,Dominik Kohr,Danny da Costa,Daichi Kamada,André Silva2,Bas Dost,S04,4-4-2_R,Ralf Fährmann,Bastian Oczipka,Benjamin Stambouli,Ozan Kabak,Sebastian Rudy,Amine Harit,Nabil Bentaleb,Suat Serdar,Rabbi Matondo,Gonçalo Paciência,Mark Uth,1,3-1
"1:30 AM CT,January 20, 2021",BMG,3-4-3_L,Yann Sommer,Ramy Bensebaini,Nico Elvedi,Matthias Ginter,Oscar Wendt,Christoph Kramer,Florian Neuhaus,Stefan Lainer,Jonas Hofmann1,Lars Stindl,Hannes Wolf,SVW,4-4-2_R,Jirí Pavlenka,Ludwig Augustinsson,Marco Friedl,Niklas Moisander,Theodor Gebre Selassie,Joshua Sargent,Maximilian Eggestein,Davy Klaassen,Tahith Chong,Yuya Osako,Davie Selke,1,1-0
"3:30 AM CT,January 20, 2021",B04,4-1-4-1_L,Lukas Hradecky,Daley Sinkgraven,Edmond Tapsoba,Sven Bender,Lars Bender,Charles Aránguiz,Moussa Diaby,Kerem Demirbay,Florian Wirtz,Karim Bellarabi,Lucas Alario,DOR,3-4-1-2_R,Roman Bürki,Manuel Akanji,Mats Hummels,Emre Can,Thorgan Hazard,Jude Bellingham,Axel Witsel,Thomas Meunier,Giovanni Reyna,Jadon Sancho,Erling Haaland,1,2-1
"3:30 AM CT,January 20, 2021",BSC,4-1-2-1-2_L,Alexander Schwolow,Maximilian Mittelstädt,Jordan Torunarigha,Dedryck Boyata,Peter Pekarik,Niklas Stark,Lucas Tousart,Vladimír Darida,Matheus Cunha,Krzysztof Piatek,Dodi Lukebakio,TSG,3-4-1-2_R,Oliver Baumann,Ermin Bicakcic,Kevin Vogt,Kasim Nuhu,Pavel Kaderábek,Diadie Samassekou,Dennis Geiger,Kevin Akpoguma,Andrej Kramaric,Munas Dabbur,Christoph Baumgartner,-1,0-3
"3:30 AM CT,January 20, 2021",M05,4-2-3-1_L,Robin Zentner,Daniel Brosinski,Moussa Niakhate,Jerry St. Juste,Ridle Baku,Danny Latza,Leandro Barreiro,Karim Onisiwo,Robin Quaison,Jonathan Burkhardt,Jean-Philippe Mateta,WOB,4-3-3-d_R,Koen Casteels,Jérôme Roussillon,John Brooks,Maxence Lacroix,Renato Steffen,Xaver Schlager,Maximilian Arnold,Admir Mehmedi,Joao Victor,Wout Weghorst,Josip Brekalo,-1,0-2
"1:30 AM CT,January 21, 2021",S04,4-4-2_L,Ralf Fährmann,Bastian Oczipka,Benjamin Stambouli,Ozan Kabak,Sebastian Rudy,Amine Harit,Nabil Bentaleb,Suat Serdar,Rabbi Matondo,Gonçalo Paciência,Mark Uth,KOE,4-2-3-1_R,Timo Horn,Jannes Horn,Rafael Czichos,Sebastiaan Bornauw,Marco Höger,Jonas Hector,Ellyes Skhiri,Jan Thielmann,Ondrej Duda,Elvis Rexhbecaj,Sebastian Andersson,-1,1-2
"3:30 AM CT,January 21, 2021",DSC,4-1-4-1_L,Stefan Ortega,Anderson Lucoqui,Mike van der Hoorn,Amos Pieper,Nathan de Medina,Manuel Prietl,Sergio Córdova,Marcel Hartel,Ritsu Doan,Cebio Soukou,Fabian Klos,VFB,3-1-4-2_R,Gregor Kobel,Marc-Oliver Kempf,Marcin Kaminski,Waldemar Anton,Wataru Endo,Silas Katompa Mvumpa,Orel Mangala,Gonzalo Castro,Roberto Massimo,Daniel Didavi,Mateo Klimowicz,1,3-0
"3:30 AM CT,January 21, 2021",FCA,4-2-3-1_L,Rafal Gikiewicz,Iago,Felix Uduokhai,Jeffrey Gouweleeuw,Raphael Framberger,Rani Khedira,Carlos Gruezo,Ruben Vargas,Michael Gregoritsch,Daniel Caligiuri,Florian Niederlechner,MUN,4-2-3-1_R,Manuel Neuer,Lucas Hernández,Jérôme Boateng,Niklas Süle,Benjamin Pavard,Joshua Kimmich,Leon Goretzka,Serge Gnabry,Thomas Müller,Leroy Sané,Robert Lewandowski,-1,0-1
"3:30 AM CT,January 21, 2021",RBL,3-4-2-1_L,Péter Gulácsi,Marcel Halstenberg,Dayot Upamecano,Lukas Klostermann,Angeliño,Kevin Kampl,Tyler Adams,Amadou Haidara,Emil Forsberg,Dani Olmo,Yussuf Poulsen,FCU,4-3-3-d_R,Andreas Luthe,Christopher Lenz,Robin Knoche,Marvin Friedrich,Christopher Trimmel,Grischa Prömel,Robert Andrich,Christian Gentner,Marius Bulter,Marcus Ingvartsen,Sheraldo Becker,1,1-0
"3:30 AM CT,January 21, 2021",SCF,4-1-2-1-2_L,Florian Müller,Christian Günter,Dominique Heintz,Philipp Lienhart,Jonathan Schmid,Nicolas Höfler,Vincenzo Grifo,Woo-Yeong Jeong,Roland Sallai,Lucas Höler,Nils Petersen,SGE,3-4-1-2_R,Kevin Trapp,Martin Hinteregger,Makoto Hasebe,David Abraham,Filip Kostic,Sebastian Rode,Dominik Kohr,Danny da Costa,Daichi Kamada,André Silva2,Bas Dost,0,2-2
"3:30 AM CT,January 23, 2021",BMG,3-4-3_L,Yann Sommer,Ramy Bensebaini,Nico Elvedi,Matthias Ginter,Oscar Wendt,Christoph Kramer,Florian Neuhaus,Stefan Lainer,Jonas Hofmann1,Lars Stindl,Hannes Wolf,DOR,3-4-1-2_R,Roman Bürki,Manuel Akanji,Mats Hummels,Emre Can,Thorgan Hazard,Jude Bellingham,Axel Witsel,Thomas Meunier,Giovanni Reyna,Jadon Sancho,Erling Haaland,1,4-2
"10:30 PM CT,January 23, 2021",DSC,4-1-4-1_L,Stefan Ortega,Anderson Lucoqui,Mike van der Hoorn,Amos Pieper,Nathan de Medina,Manuel Prietl,Sergio Córdova,Marcel Hartel,Ritsu Doan,Cebio Soukou,Fabian Klos,SGE,3-4-1-2_R,Kevin Trapp,Martin Hinteregger,Makoto Hasebe,David Abraham,Filip Kostic,Sebastian Rode,Dominik Kohr,Danny da Costa,Daichi Kamada,André Silva2,Bas Dost,-1,1-5
"10:30 PM CT,January 23, 2021",B04,4-1-4-1_L,Lukas Hradecky,Daley Sinkgraven,Edmond Tapsoba,Sven Bender,Lars Bender,Charles Aránguiz,Moussa Diaby,Kerem Demirbay,Florian Wirtz,Karim Bellarabi,Lucas Alario,WOB,4-3-3-d_R,Koen Casteels,Jérôme Roussillon,John Brooks,Maxence Lacroix,Renato Steffen,Xaver Schlager,Maximilian Arnold,Admir Mehmedi,Joao Victor,Wout Weghorst,Josip Brekalo,-1,0-1
"10:30 PM CT,January 23, 2021",FCA,4-2-3-1_L,Rafal Gikiewicz,Iago,Felix Uduokhai,Jeffrey Gouweleeuw,Raphael Framberger,Rani Khedira,Carlos Gruezo,Ruben Vargas,Michael Gregoritsch,Daniel Caligiuri,Florian Niederlechner,FCU,4-3-3-d_R,Andreas Luthe,Christopher Lenz,Robin Knoche,Marvin Friedrich,Christopher Trimmel,Grischa Prömel,Robert Andrich,Christian Gentner,Marius Bulter,Marcus Ingvartsen,Sheraldo Becker,1,2-1
"10:30 PM CT,January 23, 2021",M05,4-2-3-1_L,Robin Zentner,Daniel Brosinski,Moussa Niakhate,Jerry St. Juste,Ridle Baku,Danny Latza,Leandro Barreiro,Karim Onisiwo,Robin Quaison,Jonathan Burkhardt,Jean-Philippe Mateta,RBL,3-4-2-1_R,Péter Gulácsi,Marcel Halstenberg,Dayot Upamecano,Lukas Klostermann,Angeliño,Kevin Kampl,Tyler Adams,Amadou Haidara,Emil Forsberg,Dani Olmo,Yussuf Poulsen,1,3-2
"10:30 PM CT,January 23, 2021",SCF,4-1-2-1-2_L,Florian Müller,Christian Günter,Dominique Heintz,Philipp Lienhart,Jonathan Schmid,Nicolas Höfler,Vincenzo Grifo,Woo-Yeong Jeong,Roland Sallai,Lucas Höler,Nils Petersen,VFB,3-1-4-2_R,Gregor Kobel,Marc-Oliver Kempf,Marcin Kaminski,Waldemar Anton,Wataru Endo,Silas Katompa Mvumpa,Orel Mangala,Gonzalo Castro,Roberto Massimo,Daniel Didavi,Mateo Klimowicz,1,2-1
"1:30 AM CT,January 24, 2021",BSC,4-1-2-1-2_L,Alexander Schwolow,Maximilian Mittelstädt,Jordan Torunarigha,Dedryck Boyata,Peter Pekarik,Niklas Stark,Lucas Tousart,Vladimír Darida,Matheus Cunha,Krzysztof Piatek,Dodi Lukebakio,SVW,4-4-2_R,Jirí Pavlenka,Ludwig Augustinsson,Marco Friedl,Niklas Moisander,Theodor Gebre Selassie,Joshua Sargent,Maximilian Eggestein,Davy Klaassen,Tahith Chong,Yuya Osako,Davie Selke,-1,1-4
"10:30 PM CT,January 24, 2021",S04,4-4-2_L,Ralf Fährmann,Bastian Oczipka,Benjamin Stambouli,Ozan Kabak,Sebastian Rudy,Amine Harit,Nabil Bentaleb,Suat Serdar,Rabbi Matondo,Gonçalo Paciência,Mark Uth,MUN,4-2-3-1_R,Manuel Neuer,Lucas Hernández,Jérôme Boateng,Niklas Süle,Benjamin Pavard,Joshua Kimmich,Leon Goretzka,Serge Gnabry,Thomas Müller,Leroy Sané,Robert Lewandowski,-1,0-4
"1:00 AM CT,January 25, 2021",TSG,3-4-1-2_L,Oliver Baumann,Ermin Bicakcic,Kevin Vogt,Kasim Nuhu,Pavel Kaderábek,Diadie Samassekou,Dennis Geiger,Kevin Akpoguma,Andrej Kramaric,Munas Dabbur,Christoph Baumgartner,KOE,4-2-3-1_R,Timo Horn,Jannes Horn,Rafael Czichos,Sebastiaan Bornauw,Marco Höger,Jonas Hector,Ellyes Skhiri,Jan Thielmann,Ondrej Duda,Elvis Rexhbecaj,Sebastian Andersson,1,3-0
"3:30 AM CT,January 30, 2021",VFB,3-1-4-2_L,Gregor Kobel,Marc-Oliver Kempf,Marcin Kaminski,Waldemar Anton,Wataru Endo,Silas Katompa Mvumpa,Orel Mangala,Gonzalo Castro,Roberto Massimo,Daniel Didavi,Mateo Klimowicz,M05,4-2-3-1_R,Robin Zentner,Daniel Brosinski,Moussa Niakhate,Jerry St. Juste,Ridle Baku,Danny Latza,Leandro Barreiro,Karim Onisiwo,Robin Quaison,Jonathan Burkhardt,Jean-Philippe Mateta,1,2-0
"10:30 PM CT,January 30, 2021",FCU,4-3-3-d_L,Andreas Luthe,Christopher Lenz,Robin Knoche,Marvin Friedrich,Christopher Trimmel,Grischa Prömel,Robert Andrich,Christian Gentner,Marius Bulter,Marcus Ingvartsen,Sheraldo Becker,BMG,3-4-3_R,Yann Sommer,Ramy Bensebaini,Nico Elvedi,Matthias Ginter,Oscar Wendt,Christoph Kramer,Florian Neuhaus,Stefan Lainer,Jonas Hofmann1,Lars Stindl,Hannes Wolf,0,1-1
"10:30 PM CT,January 30, 2021",MUN,4-2-3-1_L,Manuel Neuer,Lucas Hernández,Jérôme Boateng,Niklas Süle,Benjamin Pavard,Joshua Kimmich,Leon Goretzka,Serge Gnabry,Thomas Müller,Leroy Sané,Robert Lewandowski,TSG,3-4-1-2_R,Oliver Baumann,Ermin Bicakcic,Kevin Vogt,Kasim Nuhu,Pavel Kaderábek,Diadie Samassekou,Dennis Geiger,Kevin Akpoguma,Andrej Kramaric,Munas Dabbur,Christoph Baumgartner,1,4-1
"10:30 PM CT,January 30, 2021",DOR,3-4-1-2_L,Roman Bürki,Manuel Akanji,Mats Hummels,Emre Can,Thorgan Hazard,Jude Bellingham,Axel Witsel,Thomas Meunier,Giovanni Reyna,Jadon Sancho,Erling Haaland,FCA,4-2-3-1_R,Rafal Gikiewicz,Iago,Felix Uduokhai,Jeffrey Gouweleeuw,Raphael Framberger,Rani Khedira,Carlos Gruezo,Ruben Vargas,Michael Gregoritsch,Daniel Caligiuri,Florian Niederlechner,1,3-1
"10:30 PM CT,January 30, 2021",SGE,3-4-1-2_L,Kevin Trapp,Martin Hinteregger,Makoto Hasebe,David Abraham,Filip Kostic,Sebastian Rode,Dominik Kohr,Danny da Costa,Daichi Kamada,André Silva2,Bas Dost,BSC,4-1-2-1-2_R,Alexander Schwolow,Maximilian Mittelstädt,Jordan Torunarigha,Dedryck Boyata,Peter Pekarik,Niklas Stark,Lucas Tousart,Vladimír Darida,Matheus Cunha,Krzysztof Piatek,Dodi Lukebakio,1,3-1
"10:30 PM CT,January 30, 2021",SVW,4-4-2_L,Jirí Pavlenka,Ludwig Augustinsson,Marco Friedl,Niklas Moisander,Theodor Gebre Selassie,Joshua Sargent,Maximilian Eggestein,Davy Klaassen,Tahith Chong,Yuya Osako,Davie Selke,S04,4-4-2_R,Ralf Fährmann,Bastian Oczipka,Benjamin Stambouli,Ozan Kabak,Sebastian Rudy,Amine Harit,Nabil Bentaleb,Suat Serdar,Rabbi Matondo,Gonçalo Paciência,Mark Uth,0,1-1
"1:30 AM CT,January 31, 2021",RBL,3-4-2-1_L,Péter Gulácsi,Marcel Halstenberg,Dayot Upamecano,Lukas Klostermann,Angeliño,Kevin Kampl,Tyler Adams,Amadou Haidara,Emil Forsberg,Dani Olmo,Yussuf Poulsen,B04,4-1-4-1_R,Lukas Hradecky,Daley Sinkgraven,Edmond Tapsoba,Sven Bender,Lars Bender,Charles Aránguiz,Moussa Diaby,Kerem Demirbay,Florian Wirtz,Karim Bellarabi,Lucas Alario,1,1-0
"10:30 PM CT,January 31, 2021",KOE,4-2-3-1_L,Timo Horn,Jannes Horn,Rafael Czichos,Sebastiaan Bornauw,Marco Höger,Jonas Hector,Ellyes Skhiri,Jan Thielmann,Ondrej Duda,Elvis Rexhbecaj,Sebastian Andersson,DSC,4-1-4-1_R,Stefan Ortega,Anderson Lucoqui,Mike van der Hoorn,Amos Pieper,Nathan de Medina,Manuel Prietl,Sergio Córdova,Marcel Hartel,Ritsu Doan,Cebio Soukou,Fabian Klos,1,3-1
"1:00 AM CT,February 1, 2021",WOB,4-3-3-d_L,Koen Casteels,Jérôme Roussillon,John Brooks,Maxence Lacroix,Renato Steffen,Xaver Schlager,Maximilian Arnold,Admir Mehmedi,Joao Victor,Wout Weghorst,Josip Brekalo,SCF,4-1-2-1-2_R,Florian Müller,Christian Günter,Dominique Heintz,Philipp Lienhart,Jonathan Schmid,Nicolas Höfler,Vincenzo Grifo,Woo-Yeong Jeong,Roland Sallai,Lucas Höler,Nils Petersen,1,3-0
"3:00 AM CT,February 6, 2021",BSC,4-1-2-1-2_L,Alexander Schwolow,Maximilian Mittelstädt,Jordan Torunarigha,Dedryck Boyata,Peter Pekarik,Niklas Stark,Lucas Tousart,Vladimír Darida,Matheus Cunha,Krzysztof Piatek,Dodi Lukebakio,MUN,4-2-3-1_R,Manuel Neuer,Lucas Hernández,Jérôme Boateng,Niklas Süle,Benjamin Pavard,Joshua Kimmich,Leon Goretzka,Serge Gnabry,Thomas Müller,Leroy Sané,Robert Lewandowski,-1,0-1
"10:30 PM CT,February 6, 2021",B04,4-1-4-1_L,Lukas Hradecky,Daley Sinkgraven,Edmond Tapsoba,Sven Bender,Lars Bender,Charles Aránguiz,Moussa Diaby,Kerem Demirbay,Florian Wirtz,Karim Bellarabi,Lucas Alario,VFB,3-1-4-2_R,Gregor Kobel,Marc-Oliver Kempf,Marcin Kaminski,Waldemar Anton,Wataru Endo,Silas Katompa Mvumpa,Orel Mangala,Gonzalo Castro,Roberto Massimo,Daniel Didavi,Mateo Klimowicz,1,5-2
"10:30 PM CT,February 6, 2021",FCA,4-2-3-1_L,Rafal Gikiewicz,Iago,Felix Uduokhai,Jeffrey Gouweleeuw,Raphael Framberger,Rani Khedira,Carlos Gruezo,Ruben Vargas,Michael Gregoritsch,Daniel Caligiuri,Florian Niederlechner,WOB,4-3-3-d_R,Koen Casteels,Jérôme Roussillon,John Brooks,Maxence Lacroix,Renato Steffen,Xaver Schlager,Maximilian Arnold,Admir Mehmedi,Joao Victor,Wout Weghorst,Josip Brekalo,-1,0-2
"10:30 PM CT,February 6, 2021",M05,4-2-3-1_L,Robin Zentner,Daniel Brosinski,Moussa Niakhate,Jerry St. Juste,Ridle Baku,Danny Latza,Leandro Barreiro,Karim Onisiwo,Robin Quaison,Jonathan Burkhardt,Jean-Philippe Mateta,FCU,4-3-3-d_R,Andreas Luthe,Christopher Lenz,Robin Knoche,Marvin Friedrich,Christopher Trimmel,Grischa Prömel,Robert Andrich,Christian Gentner,Marius Bulter,Marcus Ingvartsen,Sheraldo Becker,1,1-0
"10:30 PM CT,February 6, 2021",SCF,4-1-2-1-2_L,Florian Müller,Christian Günter,Dominique Heintz,Philipp Lienhart,Jonathan Schmid,Nicolas Höfler,Vincenzo Grifo,Woo-Yeong Jeong,Roland Sallai,Lucas Höler,Nils Petersen,DOR,3-4-1-2_R,Roman Bürki,Manuel Akanji,Mats Hummels,Emre Can,Thorgan Hazard,Jude Bellingham,Axel Witsel,Thomas Meunier,Giovanni Reyna,Jadon Sancho,Erling Haaland,1,2-1
"10:30 PM CT,February 6, 2021",S04,4-4-2_L,Ralf Fährmann,Bastian Oczipka,Benjamin Stambouli,Ozan Kabak,Sebastian Rudy,Amine Harit,Nabil Bentaleb,Suat Serdar,Rabbi Matondo,Gonçalo Paciência,Mark Uth,RBL,3-4-2-1_R,Péter Gulácsi,Marcel Halstenberg,Dayot Upamecano,Lukas Klostermann,Angeliño,Kevin Kampl,Tyler Adams,Amadou Haidara,Emil Forsberg,Dani Olmo,Yussuf Poulsen,-1,0-3
"1:30 AM CT,February 7, 2021",BMG,3-4-3_L,Yann Sommer,Ramy Bensebaini,Nico Elvedi,Matthias Ginter,Oscar Wendt,Christoph Kramer,Florian Neuhaus,Stefan Lainer,Jonas Hofmann1,Lars Stindl,Hannes Wolf,KOE,4-2-3-1_R,Timo Horn,Jannes Horn,Rafael Czichos,Sebastiaan Bornauw,Marco Höger,Jonas Hector,Ellyes Skhiri,Jan Thielmann,Ondrej Duda,Elvis Rexhbecaj,Sebastian Andersson,-1,1-2
"10:30 PM CT,February 7, 2021",TSG,3-4-1-2_L,Oliver Baumann,Ermin Bicakcic,Kevin Vogt,Kasim Nuhu,Pavel Kaderábek,Diadie Samassekou,Dennis Geiger,Kevin Akpoguma,Andrej Kramaric,Munas Dabbur,Christoph Baumgartner,SGE,3-4-1-2_R,Kevin Trapp,Martin Hinteregger,Makoto Hasebe,David Abraham,Filip Kostic,Sebastian Rode,Dominik Kohr,Danny da Costa,Daichi Kamada,André Silva2,Bas Dost,-1,1-3
"3:30 AM CT,February 13, 2021",RBL,3-4-2-1_L,Péter Gulácsi,Marcel Halstenberg,Dayot Upamecano,Lukas Klostermann,Angeliño,Kevin Kampl,Tyler Adams,Amadou Haidara,Emil Forsberg,Dani Olmo,Yussuf Poulsen,FCA,4-2-3-1_R,Rafal Gikiewicz,Iago,Felix Uduokhai,Jeffrey Gouweleeuw,Raphael Framberger,Rani Khedira,Carlos Gruezo,Ruben Vargas,Michael Gregoritsch,Daniel Caligiuri,Florian Niederlechner,1,2-1
"10:30 PM CT,February 13, 2021",B04,4-1-4-1_L,Lukas Hradecky,Daley Sinkgraven,Edmond Tapsoba,Sven Bender,Lars Bender,Charles Aránguiz,Moussa Diaby,Kerem Demirbay,Florian Wirtz,Karim Bellarabi,Lucas Alario,M05,4-2-3-1_R,Robin Zentner,Daniel Brosinski,Moussa Niakhate,Jerry St. Juste,Ridle Baku,Danny Latza,Leandro Barreiro,Karim Onisiwo,Robin Quaison,Jonathan Burkhardt,Jean-Philippe Mateta,0,2-2
"10:30 PM CT,February 13, 2021",DOR,3-4-1-2_L,Roman Bürki,Manuel Akanji,Mats Hummels,Emre Can,Thorgan Hazard,Jude Bellingham,Axel Witsel,Thomas Meunier,Giovanni Reyna,Jadon Sancho,Erling Haaland,TSG,3-4-1-2_R,Oliver Baumann,Ermin Bicakcic,Kevin Vogt,Kasim Nuhu,Pavel Kaderábek,Diadie Samassekou,Dennis Geiger,Kevin Akpoguma,Andrej Kramaric,Munas Dabbur,Christoph Baumgartner,0,2-2
"10:30 PM CT,February 13, 2021",VFB,3-1-4-2_L,Gregor Kobel,Marc-Oliver Kempf,Marcin Kaminski,Waldemar Anton,Wataru Endo,Silas Katompa Mvumpa,Orel Mangala,Gonzalo Castro,Roberto Massimo,Daniel Didavi,Mateo Klimowicz,BSC,4-1-2-1-2_R,Alexander Schwolow,Maximilian Mittelstädt,Jordan Torunarigha,Dedryck Boyata,Peter Pekarik,Niklas Stark,Lucas Tousart,Vladimír Darida,Matheus Cunha,Krzysztof Piatek,Dodi Lukebakio,0,1-1
"10:30 PM CT,February 13, 2021",SVW,4-4-2_L,Jirí Pavlenka,Ludwig Augustinsson,Marco Friedl,Niklas Moisander,Theodor Gebre Selassie,Joshua Sargent,Maximilian Eggestein,Davy Klaassen,Tahith Chong,Yuya Osako,Davie Selke,SCF,4-1-2-1-2_R,Florian Müller,Christian Günter,Dominique Heintz,Philipp Lienhart,Jonathan Schmid,Nicolas Höfler,Vincenzo Grifo,Woo-Yeong Jeong,Roland Sallai,Lucas Höler,Nils Petersen,0,0-0
