timestamp,team1,team1_shape,team1_player1_name,team1_player2_name,team1_player3_name,team1_player4_name,team1_player5_name,team1_player6_name,team1_player7_name,team1_player8_name,team1_player9_name,team1_player10_name,team1_player11_name,team2,team2_shape,team2_player1_name,team2_player2_name,team2_player3_name,team2_player4_name,team2_player5_name,team2_player6_name,team2_player7_name,team2_player8_name,team2_player9_name,team2_player10_name,team2_player11_name,result,score
"1:30 AM CT,January 23, 2022",SEV,3-4-2-1_L,Marko Dmitrovic,Karim Rekik,Diego Carlos,Jules Koundé,Marcos Acuña,Joan Jordán,Fernando1,Jesús Navas,Oussama Idrissi,Óscar Rodríguez,Youssef En-Nesyri,CEL,4-4-2_R,Matías Dituro,Javier Galán,José Manuel Fontán,Néstor Araujo,Hugo Mallo,Nolito,Denis Suárez,Renato Tapia,Fran Beltrán,Iago Aspas,Santi Mina,0,2-2
"4:00 AM CT,January 23, 2022",ATL,3-1-4-2_L,Jan Oblak,Mario Hermoso,José Giménez,Stefan Savic,Koke,Yannick Carrasco,Marcos Llorente,Rodrigo De Paul,Saúl Ñíguez,João Félix,Ángel Correa,VAL,4-4-2_R,Giorgi Mamardashvili,José Gayà,Omar Alderete,Gabriel2,Thierry Correia,Denis Cheryshev,Hugo Guillamón,Daniel Wass,Carlos Soler,Goncalo Guedes,Maxi Gómez,1,3-2
"9:00 PM CT,January 23, 2022",GRA,4-3-3-d_L,Aarón Escandell,Carlos Neva,Domingos Duarte,Germán,Dimitri Foulquier,Luis Milla,Maxime Gonalons,Monchu,Darwin Machis,Luis Suárez2,Antonio Puertas,OSA,4-4-2_R,Sergio Herrera,Rubén García,David García,Unai García,Nacho Vidal,Enrique García,Lucas Torró,Jon Moncayola,Enrique Barja,Darko Brasanac,Ante Budimir,-1,0-2
"11:15 PM CT,January 23, 2022",RMA,4-3-3-d_L,Thibaut Courtois,Ferland Mendy,David Alaba,Éder Militão,Dani Carvajal,Toni Kroos,Casemiro,Luka Modric,Vinícius Júnior,Karim Benzema,Marco Asensio,ELC,3-5-2_R,Kiko Casilla,Pedro Bigas,Gonzalo Verdú,Enzo Roco,Johan Mojica,Iván Marcone,Fidel,Raúl Guti,Josan,Lucas Boyé,Pere Milla,0,2-2
"1:30 AM CT,January 24, 2022",RAY,4-2-3-1_L,Luca Zidane,Fran García,Alejandro Catena,Mario Suárez,Iván Balliu,Santiago Comesaña,Óscar Valentín,Fran García,Óscar Trejo,Isi Palazón,Randy Nteka,ATH,4-4-2_R,Unai Simón,Mikel Balenziaga,Iñigo Martínez,Dani Vivian,Óscar de Marcos,Iker Muniain,Dani García,Unai Vencedor,Álex Berenguer,Iñaki Williams,Oihan Sancet,-1,0-1
"1:30 AM CT,January 24, 2022",RSO,4-2-3-1_L,Álex Remiro,Aihen Muñoz,Robin Le Normand,Aritz Elustondo,Joseba Zaldúa,Martín Zubimendi,Mikel Merino,Mikel Oyarzabal,David Silva,Adnan Januzaj,Portu,GET,5-3-2_R,David Soria,Mathías Olivera,Stefan Mitrovic,Erick Cabaco,Djené Dakonam,Damián Suárez,Carles Aleñá,Nemanja Maksimovic,Mauro Arambarri,Enes Ünal,Sandro Ramírez,0,0-0
"4:00 AM CT,January 24, 2022",ALA,4-4-2_L,Fernando Pacheco,Rubén Duarte,Florian Lejeune,Víctor Laguardia,Martín Aguirregabiria,Pere Pons,Tomás Pina,Édgar Méndez,Manu García1,Luis Rioja,Joselu,BAR,4-3-3-d_R,Marc-André ter Stegen,Jordi Alba,Gerard Piqué,Ronald Araújo,Sergiño Dest,Frenkie de Jong,Sergio Busquets,Pedri,Ansu Fati,Memphis Depay,Ousmane Dembélé,-1,0-1
"4:00 AM CT,February 5, 2022",GET,5-3-2_L,David Soria,Mathías Olivera,Stefan Mitrovic,Erick Cabaco,Djené Dakonam,Damián Suárez,Carles Aleñá,Nemanja Maksimovic,Mauro Arambarri,Enes Ünal,Sandro Ramírez,LEV,4-4-2_R,Aitor Fernández,Carlos Clerc,Róber,Óscar Duarte,Son,José Luis Morales,Gonzalo Melero,José Campaña,Jorge de Frutos,Roberto Soldado,Roger Martí,1,3-0
"9:00 PM CT,February 5, 2022",ELC,3-5-2_L,Kiko Casilla,Pedro Bigas,Gonzalo Verdú,Enzo Roco,Johan Mojica,Iván Marcone,Fidel,Raúl Guti,Josan,Lucas Boyé,Pere Milla,ALA,4-4-2_R,Fernando Pacheco,Rubén Duarte,Florian Lejeune,Víctor Laguardia,Martín Aguirregabiria,Pere Pons,Tomás Pina,Édgar Méndez,Manu García1,Luis Rioja,Joselu,1,3-1
"11:15 PM CT,February 5, 2022",MLL,4-3-3-d_L,Manolo Reina,Brian Oliván,Antonio Raillo,Martin Valjent,Pablo Maffeo,Iñigo Ruiz de Galarreta,Iddrisu Baba,Salva Sevilla,Daniel Rodriguez,Ángel Rodríguez,Jordi Mboula,CAD,4-2-3-1_R,Jeremias Ledesma,Alfonso Espino,Fali Jiménez,Varazdat Haroyan,Carlos Akapo,Jens Jonsson,Tomás Alarcón,Anthony Lozano,Álex,Salvi,Álvaro Negredo,1,2-1
